NZD_RetailSales;20151008;21:45;Electronic Card Retail Sales  (MoM);New Zealand;NZD;2
USD_CentralBankSpeech;20151008;19:30;Fed Williams speech;United States;USD;1
GBP_CentralBankSpeech;20151008;18:00;BoE Governor Carney speech;United Kingdom;GBP;3
USD_FOMCMinutes;20151008;18:00;FOMC Minutes;United States;USD;3
USD_Auction;20151008;17:00;30-Year Bond Auction;United States;USD;1
USD_EIANaturalGasStorageChange;20151008;14:30;EIA Natural Gas Storage Change;United States;USD;1
MXN_12MonthInflation;20151008;13:00;12-Month Inflation;Mexico;MXN;1
MXN_HeadlineInflation;20151008;13:00;Headline Inflation;Mexico;MXN;1
MXN_CoreInflation;20151008;13:00;Core Inflation;Mexico;MXN;1
USD_JoblessClaims;20151008;12:30;Initial Jobless Claims;United States;USD;1
CAD_NewHousingPriceIndex;20151008;12:30;New Housing Price Index (YoY);Canada;CAD;1
CAD_HousingStarts;20151008;12:15;Housing Starts s.a (YoY);Canada;CAD;2
CLP_ConsumerPriceIndex;20151008;12:00;Consumer Price Index (Inflation) (MoM);Chile;CLP;1
EUR_EurECBMonetaryPolicyMeetingAccounts;20151008;11:30;ECB Monetary Policy Meeting Accounts;European Monetary Union;EUR;2
GBP_BoEAssetPurchaseFacility;20151008;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20151008;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_BoEMPCVoteCut;20151008;11:00;BoE MPC Vote Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteUnchanged;20151008;11:00;BoE MPC Vote Unchanged;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20151008;11:00;Bank of England Minutes;United Kingdom;GBP;2
GBP_BoEMPCVoteHike;20151008;11:00;BoE MPC Vote Hike;United Kingdom;GBP;3
RUB_CentralBankReserves;20151008;11:00;Central Bank Reserves $;Russia;RUB;1
ZAR_ManufacturingProductionIndex;20151008;11:00;Manufacturing Production Index (YoY);South Africa;ZAR;1
EUR_IreHICP;20151008;10:00;HICP (YoY);Ireland;EUR;1
EUR_IreConsumerPriceIndex;20151008;10:00;Consumer Price Index (YoY);Ireland;EUR;1
EUR_GreUnemploymentRate;20151008;09:00;Unemployment Rate (MoM);Greece;EUR;1
CZK_UnemploymentRate;20151008;07:00;Unemployment Rate;Czech Republic;CZK;1
TRY_IndustrialProduction;20151008;07:00;Industrial Production (YoY);Turkey;TRY;1
HUF_ConsumerPriceIndex;20151008;07:00;Consumer Price Index (YoY);Hungary;HUF;1
EUR_FinTradeBalance;20151008;06:00;Trade Balance;Finland;EUR;1
EUR_GerCurrentAccount;20151008;06:00;Current Account n.s.a.;Germany;EUR;2
EUR_GerExports;20151008;06:00;Exports (MoM);Germany;EUR;2
EUR_GerTradeBalance;20151008;06:00;Trade Balance s.a.;Germany;EUR;2
EUR_GerImports;20151008;06:00;Imports (MoM);Germany;EUR;2
CHF_UnemploymentRate;20151008;05:45;Unemployment Rate s.a (MoM);Switzerland;CHF;3
JPY_EcoWatchersSurvey:Outlook;20151008;05:00;Eco Watchers Survey: Outlook;Japan;JPY;2
JPY_EcoWatchersSurvey:Current;20151008;05:00;Eco Watchers Survey: Current;Japan;JPY;2
JPY_BoJMonthlyEconomicSurvey;20151008;05:00;BoJ Monthly Economic Survey;Japan;JPY;1
EUR_NetConsumerPriceIndex;20151008;04:30;Consumer Price Index n.s.a (YoY);Netherlands, The;EUR;1
PEN_AngamosBattle;20151008;00:00;Angamos Battle;Peru;PEN;0
