JPY_NationalCPIexFoodEnergy;20180621;23:30;National CPI ex Food, Energy (YoY);Japan;JPY;2
JPY_NationalCPIexFreshFood;20180621;23:30;National CPI ex-Fresh Food (YoY);Japan;JPY;2
JPY_ConsumerPriceIndex;20180621;23:30;National Consumer Price Index (YoY);Japan;JPY;2
NZD_VisitorArrivals;20180621;22:45;Visitor Arrivals (YoY);New Zealand;NZD;1
USD_BankStressTestInfo;20180621;20:30;Bank Stress Test Info;United States;USD;1
GBP_CentralBankSpeech;20180621;20:15;BoE Governor Carney speech;United Kingdom;GBP;3
ARS_UnemploymentRate;20180621;19:00;Unemployment Rate (QoQ)	;Argentina;ARS;1
ARS_TradeBalance;20180621;19:00;Trade Balance (MoM);Argentina;ARS;1
MXN_CentralBankInterestRate;20180621;18:00;Central Bank Interest Rate;Mexico;MXN;1
USD_Auction;20180621;17:00;30-Year Bond Auction;United States;USD;1
USD_EIANaturalGasStorageChange;20180621;14:30;EIA Natural Gas Storage Change;United States;USD;1
EUR_EurConsumerConfidence;20180621;14:00;Consumer Confidence;European Monetary Union;EUR;1
RUB_CentralBankReserves;20180621;13:00;Central Bank Reserves $;Russia;RUB;1
USD_HousingPriceIndex;20180621;13:00;Housing Price Index (MoM);United States;USD;2
USD_JoblessClaims;20180621;12:30;Initial Jobless Claims;United States;USD;2
CAD_ADPEmploymentChange;20180621;12:30;ADP Employment Change;Canada;CAD;1
CAD_WholesaleSales;20180621;12:30;Wholesale Sales (MoM);Canada;CAD;1
USD_PhiladelphiaFedManufacturingSurvey;20180621;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
BRL_MidmonthInflation;20180621;12:00;Mid-month Inflation;Brazil;BRL;1
INR_M3MoneySupply;20180621;11:30;M3 Money Supply;India;INR;1
GBP_BoEAssetPurchaseFacility;20180621;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20180621;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20180621;11:00;Monetary Policy Summary;United Kingdom;GBP;3
GBP_BoEMPCVoteCut;20180621;11:00;BoE MPC Vote Cut;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20180621;11:00;Bank of England Minutes;United Kingdom;GBP;3
GBP_BoEMPCVoteUnchanged;20180621;11:00;BoE MPC Vote Unchanged;United Kingdom;GBP;3
GBP_BoEMPCVoteHike;20180621;11:00;BoE MPC Vote Hike;United Kingdom;GBP;3
EUR_GerCentralBankSpeech;20180621;09:45;German Buba President Weidmann speech;Germany;EUR;2
NOK_NorgesBankInterestRateDecision;20180621;09:00;Norges Bank Interest Rate Decision;Norway;NOK;0
EUR_SpaAuction;20180621;08:58;5-y Bond Auction;Spain;EUR;1
CHF_SNBPressConference;20180621;08:30;SNB Press Conference;Switzerland;CHF;3
HKD_ConsumerPriceIndex;20180621;08:30;Consumer Price Index;Hong Kong SAR;HKD;1
GBP_PublicSectorNetBorrowing;20180621;08:30;Public Sector Net Borrowing;United Kingdom;GBP;2
PLN_RetailSales;20180621;08:00;Retail Sales (YoY);Poland;PLN;1
CZK_ForeignDebt;20180621;08:00;Foreign Debt;Czech Republic;CZK;1
CHF_SNBInterestRateDecision;20180621;07:30;SNB Interest Rate Decision;Switzerland;CHF;3
CHF_SNBMonetaryPolicyAssessment;20180621;07:30;SNB Monetary Policy Assessment;Switzerland;CHF;3
HUF_GrossWages;20180621;07:00;Gross Wages (YoY);Hungary;HUF;1
TRY_ConsumerConfidence;20180621;07:00;Consumer Confidence;Turkey;TRY;1
EUR_FraBusinessClimate;20180621;06:45;Business Climate;France;EUR;1
HUF_CurrentAccount;20180621;06:30;Current Account Balance (QoQ);Hungary;HUF;1
DKK_ConsumerConfidence;20180621;06:00;Consumer Confidence;Denmark;DKK;1
CHF_Exports;20180621;06:00;Exports (MoM);Switzerland;CHF;1
CHF_Imports;20180621;06:00;Imports (MoM);Switzerland;CHF;1
CHF_TradeBalance;20180621;06:00;Trade Balance;Switzerland;CHF;1
EUR_NetUnemploymentRate;20180621;04:30;Unemployment Rate s.a (3M);Netherlands, The;EUR;1
EUR_NetConsumerConfidenceAdj;20180621;04:30;Consumer Confidence Adj;Netherlands, The;EUR;1
EUR_NetConsumerSpendingVolume;20180621;04:30;Consumer Spending Volume;Netherlands, The;EUR;1
CHF_SNBFinancialStabilityReport;20180621;04:30;SNB Financial Stability Report;Switzerland;CHF;2
JPY_CentralBankSpeech;20180621;01:30;BoJ Funo speech;Japan;JPY;1
AUD_RBABulletin;20180621;01:30;RBA Bulletin;Australia;AUD;2
EUR_EurEurogroupMeeting;20180621;00:00;Eurogroup Meeting;European Monetary Union;EUR;2
USD_OPECMeeting;20180621;00:00;OPEC Meeting;United States;USD;2
