GBP_RICSHousingPriceBalance;20090414;23:01;RICS Housing Price Balance;United Kingdom;GBP;1
USD_CentralBankSpeech;20090414;20:45;Fed Minneapolis Kocherlakota speech;United States;USD;1
USD_BusinessInventories;20090414;14:00;Business Inventories;United States;USD;1
USD_RetailSales;20090414;12:30;Retail Sales (MoM);United States;USD;3
USD_ProducerPriceIndex;20090414;12:30;Producer Price Index ex Food & Energy (YoY);United States;USD;1
AUD_NationalAustraliaBankBusinessConfidence;20090414;01:30;National Australia Bank Business Confidence;Australia;AUD;1
AUD_NationalAustraliaBankBusinessConditions;20090414;01:30;National Australia Bank Business Conditions;Australia;AUD;1
