JPY_DomesticCorporateGoodsPriceIndex;20080909;23:50;Domestic Corporate Goods Price Index (MoM);Japan;JPY;1
JPY_TradeBalanceBOPBasis;20080909;23:50;Trade Balance - BOP Basis;Japan;JPY;2
JPY_CurrentAccount;20080909;23:50;Current Account n.s.a.;Japan;JPY;1
GBP_NIESRGDPEstimate;20080909;23:01;NIESR GDP Estimate (3M);United Kingdom;GBP;2
NZD_TermsofTradeIndex;20080909;22:45;Terms of Trade Index;New Zealand;NZD;1
USD_PendingHomeSales;20080909;14:00;Pending Home Sales (MoM);United States;USD;1
USD_WholesaleInventories;20080909;14:00;Wholesale Inventories;United States;USD;1
USD_CentralBankSpeech;20080909;13:00;Former Fed Chair Bernanke speech;United States;USD;2
CAD_HousingStarts;20080909;12:15;Housing Starts s.a (YoY);Canada;CAD;2
GBP_IndustrialProduction;20080909;08:30;Industrial Production (MoM);United Kingdom;GBP;2
GBP_ManufacturingProduction;20080909;08:30;Manufacturing Production (YoY);United Kingdom;GBP;1
JPY_MachineToolOrders;20080909;06:00;Machine Tool Orders (YoY);Japan;JPY;0
EUR_GerTradeBalance;20080909;06:00;Trade Balance s.a.;Germany;EUR;2
AUD_InvestmentLendingforHomes;20080909;01:30;Investment Lending for Homes;Australia;AUD;0
AUD_HomeLoans;20080909;01:30;Home Loans;Australia;AUD;1
AUD_RetailSales;20080909;01:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_NationalAustraliaBankBusinessConditions;20080909;01:30;National Australia Bank Business Conditions;Australia;AUD;1
