USD_ISMNonManufacturingPMI;20080205;15:00;ISM Non-Manufacturing PMI;United States;USD;1
EUR_EurRetailSales;20080205;10:00;Retail Sales (MoM);European Monetary Union;EUR;1
GBP_MarkitServicesPMI;20080205;09:30;Markit Services PMI;United Kingdom;GBP;1
EUR_EurMarkitServicesPMI;20080205;09:00;Markit Services PMI;European Monetary Union;EUR;0
EUR_GerMarkitServicesPMI;20080205;08:55;Markit Services PMI;Germany;EUR;0
GBP_HalifaxHousePrices;20080205;08:00;Halifax House Prices (MoM);United Kingdom;GBP;0
AUD_RBAInterestRateDecision;20080205;03:30;RBA Interest Rate Decision;Australia;AUD;3
AUD_RetailSales;20080205;00:30;Retail Sales s.a. (MoM);Australia;AUD;2
AUD_BuildingPermits;20080205;00:30;Building Permits (MoM);Australia;AUD;1
