JPY_IndustrialProduction;20150830;23:50;Industrial Production (MoM);Japan;JPY;1
KRW_IndustrialOutputGrowth;20150830;23:00;Industrial Output Growth;South Korea;KRW;1
KRW_IndustrialOutput;20150830;23:00;Industrial Output (YoY);South Korea;KRW;1
KRW_ServiceSectorOutput;20150830;23:00;Service Sector Output;South Korea;KRW;1
NZD_BuildingPermits;20150830;22:45;Building Permits s.a. (MoM);New Zealand;NZD;2
KRW_BOKManufacturingBSI;20150830;21:00;BOK Manufacturing BSI;South Korea;KRW;1
NZD_M3MoneySupply;20150830;03:00;M3 Money Supply (YoY);New Zealand;NZD;1
TRY_VictoryDay;20150830;00:00;Victory Day ;Turkey;TRY;0
PEN_SantaRosadeLimaDay;20150830;00:00;Santa Rosa de Lima Day;Peru;PEN;0
