JPY_DomesticCorporateGoodsPriceIndex;20171112;23:50;Domestic Corporate Goods Price Index (YoY);Japan;JPY;1
KRW_ImportPriceGrowth;20171112;21:00;Import Price Growth (YoY);South Korea;KRW;1
KRW_ExportPriceGrowth;20171112;21:00;Export Price Growth (YoY);South Korea;KRW;1
