PEN_Tradebalance;20141108;15:00;Trade balance;Peru;PEN;1
CNY_Imports;20141108;02:00;Imports (YoY);China;CNY;1
CNY_TradeBalanceUSD;20141108;02:00;Trade Balance USD;China;CNY;2
CNY_Exports;20141108;02:00;Exports (YoY);China;CNY;1
