JPY_CorporateServicePrice;20080225;23:50;Corporate Service Price (YoY);Japan;JPY;1
USD_ExistingHomeSalesChange;20080225;15:00;Existing Home Sales Change (MoM);United States;USD;2
USD_ExistingHomeSales;20080225;15:00;Existing Home Sales (MoM);United States;USD;2
GBP_BBAMortgageApprovals;20080225;09:30;BBA Mortgage Approvals;United Kingdom;GBP;2
GBP_HometrackHousingPrices;20080225;00:01;Hometrack Housing Prices s.a (MoM);United Kingdom;GBP;1
