JPY_IndustrialProduction;20080429;23:50;Industrial Production (MoM);Japan;JPY;1
JPY_UnemploymentRate;20080429;23:30;Unemployment Rate;Japan;JPY;2
JPY_OverallHouseholdSpending;20080429;23:30;Overall Household Spending (YoY);Japan;JPY;1
JPY_NikkeiManufacturingPMI;20080429;23:15;Nikkei Manufacturing PMI;Japan;JPY;2
GBP_GfKConsumerConfidence;20080429;23:01;GfK Consumer Confidence;United Kingdom;GBP;3
NZD_BuildingPermits;20080429;22:45;Building Permits s.a. (MoM);New Zealand;NZD;1
USD_ConsumerConfidence;20080429;14:00;Consumer Confidence;United States;USD;2
USD_S&PCaseShillerHomePriceIndices;20080429;13:00;S&P/Case-Shiller Home Price Indices (YoY);United States;USD;1
GBP_CBIDistributiveTradesSurveyRealized;20080429;10:00;CBI Distributive Trades Survey - Realized (MoM);United Kingdom;GBP;2
GBP_NetLendingtoIndividuals;20080429;08:30;Net Lending to Individuals (MoM);United Kingdom;GBP;1
GBP_ConsumerCredit;20080429;08:30;Consumer Credit;United Kingdom;GBP;1
GBP_MortgageApprovals;20080429;08:30;Mortgage Approvals;United Kingdom;GBP;1
GBP_M4SterlingLending;20080429;08:30;M4 Sterling Lending;United Kingdom;GBP;2
GBP_M4MoneySupply;20080429;08:30;M4 Money Supply (MoM);United Kingdom;GBP;2
CHF_UBSConsumptionIndicator;20080429;08:00;UBS Consumption Indicator;Switzerland;CHF;1
