USD_CentralBankSpeech;20090522;18:00;Former Fed Chair Bernanke speech;United States;USD;1
CAD_RetailSales;20090522;12:30;Retail Sales ex Autos (MoM);Canada;CAD;2
GBP_GrossDomesticProduct;20090522;08:30;Gross Domestic Product (QoQ);United Kingdom;GBP;2
GBP_IndexofServices;20090522;08:30;Index of Services (3M/3M);United Kingdom;GBP;1
JPY_LeadingEconomicIndex;20090522;05:00;Leading Economic Index;Japan;JPY;2
JPY_CoincidentIndex;20090522;05:00;Coincident Index;Japan;JPY;1
JPY_BoJInterestRateDecision;20090522;04:00;BoJ Interest Rate Decision;Japan;JPY;3
