PEN_Tradebalance;20150808;13:00;Trade balance;Peru;PEN;1
CNY_TradeBalanceCNY;20150808;02:00;Trade Balance CNY;China;CNY;2
CNY_Imports;20150808;02:00;Imports (YoY);China;CNY;2
CNY_Exports;20150808;02:00;Exports (YoY);China;CNY;2
CNY_TradeBalanceUSD;20150808;02:00;Trade Balance USD;China;CNY;2
