NZD_BusinessNZPMI;20160616;22:30;Business NZ PMI;New Zealand;NZD;2
COP_RetailSales;20160616;22:00;Retail Sales (YoY);Colombia;COP;1
CLP_BCCHInterestRate;20160616;22:00;BCCH Interest Rate;Chile;CLP;1
COP_Industrialouput;20160616;22:00;Industrial ouput (YoY);Colombia;COP;1
GBP_CentralBankSpeech;20160616;20:00;BoE Governor Carney speech;United Kingdom;GBP;3
USD_EIANaturalGasStorageChange;20160616;14:30;EIA Natural Gas Storage Change;United States;USD;1
USD_NAHBHousingMarketIndex;20160616;14:00;NAHB Housing Market Index;United States;USD;2
USD_CurrentAccount;20160616;12:30;Current Account;United States;USD;1
USD_JoblessClaims;20160616;12:30;Initial Jobless Claims;United States;USD;2
CAD_CanadianPortfolioInvestmentinForeignSecurities;20160616;12:30;Canadian Portfolio Investment in Foreign Securities;Canada;CAD;1
CAD_ForeignPortfolioInvestmentinCanadianSecurities;20160616;12:30;Foreign Portfolio Investment in Canadian Securities;Canada;CAD;1
USD_ConsumerPriceIndex;20160616;12:30;Consumer Price Index n.s.a (MoM);United States;USD;2
USD_PhiladelphiaFedManufacturingSurvey;20160616;12:30;Philadelphia Fed Manufacturing Survey;United States;USD;2
EUR_EurEurogroupMeeting;20160616;12:00;Eurogroup Meeting;European Monetary Union;EUR;2
PLN_CorporateSectorWages;20160616;12:00;Corporate Sector Wages;Poland;PLN;1
INR_TradeDeficitRBI;20160616;11:30;Trade Deficit - RBI;India;INR;1
INR_BalancePayment;20160616;11:30;Balance Payment $;India;INR;1
INR_CurrentAccount;20160616;11:30;Current Account Balance $;India;INR;1
GBP_BoEAssetPurchaseFacility;20160616;11:00;BoE Asset Purchase Facility;United Kingdom;GBP;3
GBP_BoEInterestRateDecision;20160616;11:00;BoE Interest Rate Decision;United Kingdom;GBP;3
GBP_MonetaryPolicySummary;20160616;11:00;Monetary Policy Summary;United Kingdom;GBP;3
GBP_BoEMPCVoteCut;20160616;11:00;BoE MPC Vote Cut;United Kingdom;GBP;3
GBP_BoEMPCVoteUnchanged;20160616;11:00;BoE MPC Vote Unchanged;United Kingdom;GBP;3
GBP_BankofEnglandMinutes;20160616;11:00;Bank of England Minutes;United Kingdom;GBP;3
GBP_BoEMPCVoteHike;20160616;11:00;BoE MPC Vote Hike;United Kingdom;GBP;3
RUB_CentralBankReserves;20160616;11:00;Central Bank Reserves $;Russia;RUB;1
EUR_NetManufacturingOutput;20160616;10:30;Manufacturing Output (MoM);Netherlands, The;EUR;1
EUR_GreUnemploymentRate;20160616;09:00;Unemployment Rate (QoQ);Greece;EUR;1
EUR_EurConsumerPriceIndex;20160616;09:00;Consumer Price Index (YoY);European Monetary Union;EUR;2
EUR_SpaAuction;20160616;09:00;3-y Bond Auction;Spain;EUR;1
GBP_RetailSales;20160616;08:30;Retail Sales (YoY);United Kingdom;GBP;2
HKD_Unemploymentrate;20160616;08:30;Unemployment rate;Hong Kong SAR;HKD;1
NOK_TradeBalance;20160616;08:00;Trade Balance;Norway;NOK;1
EUR_EurEconomicBulletin;20160616;08:00;Economic Bulletin;European Monetary Union;EUR;2
CHF_SNBInterestRateDecision;20160616;07:30;SNB Interest Rate Decision;Switzerland;CHF;3
CHF_SNBPressConference;20160616;07:30;SNB Press Conference;Switzerland;CHF;3
CZK_ProducerPriceIndex;20160616;07:00;Producer Price Index (YoY);Czech Republic;CZK;1
EUR_AusHICP;20160616;07:00;HICP (YoY);Austria;EUR;1
IDR_BankIndonesiaRate;20160616;07:00;Bank Indonesia Rate;Indonesia;IDR;1
EUR_SloEUNormInflation;20160616;07:00;EU Norm Inflation (MoM);Slovakia;EUR;1
JPY_BoJPressConference;20160616;06:00;BoJ Press Conference;Japan;JPY;3
CHF_SECOEconomicForecasts;20160616;05:45;SECO Economic Forecasts;Switzerland;CHF;2
EUR_NetUnemploymentRate;20160616;05:30;Unemployment Rate s.a (3M);Netherlands, The;EUR;1
CHF_SNBFinancialStabilityReport;20160616;04:30;SNB Financial Stability Report;Switzerland;CHF;2
JPY_BoJInterestRateDecision;20160616;02:45;BoJ Interest Rate Decision;Japan;JPY;3
JPY_BoJMonetaryPolicyStatement;20160616;02:45;BoJ Monetary Policy Statement ;Japan;JPY;3
AUD_CentralBankSpeech;20160616;02:30;OUTDATED - RBA Deputy Governor Lowe Speech;Australia;AUD;2
AUD_NewMotorVehicleSales;20160616;01:30;New Motor Vehicle Sales (MoM);Australia;AUD;1
AUD_RBAForeignExchangeTransaction;20160616;01:30;RBA Foreign Exchange Transaction;Australia;AUD;1
AUD_PartTimeEmployment;20160616;01:30;Part-Time Employment;Australia;AUD;1
AUD_UnemploymentRate;20160616;01:30;Unemployment Rate s.a.;Australia;AUD;3
AUD_EmploymentChange;20160616;01:30;Employment Change s.a.;Australia;AUD;3
AUD_FulltimeEmployment;20160616;01:30;Fulltime Employment;Australia;AUD;2
AUD_ParticipationRate;20160616;01:30;Participation Rate;Australia;AUD;2
AUD_RBABulletin;20160616;01:30;RBA Bulletin;Australia;AUD;2
AUD_ConsumerInflationExpectations;20160616;01:00;Consumer Inflation Expectations;Australia;AUD;2
ZAR_YouthDay;20160616;00:00;Youth Day;South Africa;ZAR;0
