GBP_RightmoveHousePriceIndex;20130915;23:01;Rightmove House Price Index (MoM);United Kingdom;GBP;1
NZD_WestpacConsumerSurvey;20130915;22:00;Westpac Consumer Survey;New Zealand;NZD;2
NZD_REINZHousePriceIndex;20130915;21:45;REINZ House Price Index (MoM);New Zealand;NZD;1
