DATE               PROD     PORTSIM  THEOSIM  LIBSIM
20220606           8028     4988     4683     -49
20220607          -7535    -5550    -5664     -2406
20220608           2026     2235     2354     1776
20220609          -1355    -1199    -1408     -1414
20220610          12160     7340     8572     805
