STRATEGY;CONFIG;FRONT;BACK;STARTTIME;ENDTIME;CORRELATION
SLSL;SLSL;XCME.ZB.0;XEUR.FGBX.0;0800000;215900;1
SLSL;SLSL;XCME.ZB.0;XEUR.FOAT.0;0800000;215900;1
SLSL;SLSL;XCME.ZF.0;XEUR.FBTP.0;0800000;215900;1
SLSL;SLSL;XCME.ZF.0;XEUR.FGBM.0;0800000;215900;1
SLSL;SLSL;XCME.ZF.0;XEUR.FGBS.0;0800000;215900;1
SLSL;SLSL;XCME.ZN.0;XEUR.FBTP.0;0800000;215900;1
SLSL;SLSL;XCME.ZN.0;XEUR.FGBX.0;0800000;215900;1
SLSL;SLSL;XCME.ZN.0;XEUR.FOAT.0;0800000;215900;1
