STRATEGY;CONFIG;FRONT;BACK;STARTTIME;ENDTIME;CORRELATION;TSTIME;TETIME
SLSL;SLSL;XTMX.CGB.0;XCME.ZN.0;120000;215900;1;120000;210000
SLSL;SLSL;XTMX.CGB.0;XCME.ZB.0;120000;215900;1;120000;210000
SLSL;SLSL;XTMX.CGB.0;XCME.ZF.0;120000;215900;1;120000;210000
SLSL;SLSL;XTMX.CGB.0;XCME.ZT.0;120000;215900;1;120000;210000
